Layers, Nodes, Accuracy, Time
3,100,0.9151500046253205,12.893017244338989
3,110,0.9168599963188171,13.500504636764527
3,120,0.9201900005340576,14.401849055290223
3,130,0.9234499931335449,16.19556748867035
3,140,0.9259999990463257,17.31765534877777
3,150,0.9282700002193451,18.452634859085084
3,160,0.92985999584198,19.640767431259157
3,170,0.93125,21.377408480644227
3,180,0.9323000013828278,23.24675064086914
3,190,0.9344999969005585,24.962991642951966
3,200,0.9344799935817718,26.245650386810304
3,210,0.9352200031280518,28.025151085853576
3,220,0.9359800040721893,30.01180682182312
3,230,0.9370000004768372,32.67754280567169
3,240,0.9391300082206726,34.70218703746796
3,250,0.9398299992084503,37.46843538284302
3,260,0.9391099870204925,40.55516877174377
3,270,0.940039998292923,43.846419548988344
3,280,0.941130006313324,46.858185338973996
3,290,0.9421200096607208,50.80152270793915
3,300,0.9420799911022186,54.44776771068573
4,100,0.9027899980545044,14.244064450263977
4,110,0.9087699890136719,15.55354208946228
4,120,0.9131199896335602,16.905954551696777
4,130,0.9174300014972687,19.268780875205994
4,140,0.9190999925136566,21.117503190040587
4,150,0.92393000125885,22.867410230636597
4,160,0.9238199949264526,24.36869044303894
4,170,0.9247500002384186,26.940501260757447
4,180,0.9258200049400329,29.119937014579772
4,190,0.9286899983882904,31.517466330528258
4,200,0.9317299962043762,34.05309307575226
4,210,0.9312099993228913,37.242856884002684
4,220,0.9331499993801117,40.719189929962155
4,230,0.9335499942302704,44.00602860450745
4,240,0.9332599937915802,47.301799702644345
4,250,0.9361000001430512,51.757218384742735
4,260,0.9366700053215027,56.41400601863861
4,270,0.9376800000667572,61.74536576271057
4,280,0.9371800005435944,66.53335323333741
4,290,0.9391500055789948,72.24830946922302
4,300,0.9396799981594086,78.2076235294342
5,100,0.8943099975585938,17.631939387321474
5,110,0.8952099919319153,19.407874941825867
5,120,0.9061399936676026,21.098576307296753
5,130,0.907260000705719,23.540630984306336
5,140,0.9122199952602387,25.558772253990174
5,150,0.9124399960041046,27.982026791572572
5,160,0.9166099905967713,29.842808032035826
5,170,0.9194599986076355,32.671430349349976
5,180,0.9227999925613404,36.08156983852386
5,190,0.9214299976825714,39.3693204164505
5,200,0.9242900013923645,43.77001287937164
5,210,0.9263299882411957,48.38692467212677
5,220,0.9289399921894074,51.637247014045716
5,230,0.9282000124454498,57.70686540603638
5,240,0.9304099917411804,63.1961407661438
5,250,0.9300300061702729,68.87333292961121
5,260,0.9337999999523163,75.01315217018127
5,270,0.9352200031280518,82.40238893032074
5,280,0.9372300028800964,88.00038397312164
5,290,0.9355599999427795,94.721113443374634
5,300,0.9361799955368042,100.8046671628952
