Nodes,Accuracy,Time
100,0.9027899980545044,14.244064450263977
110,0.9087699890136719,15.55354208946228
120,0.9131199896335602,16.905954551696777
130,0.9174300014972687,19.268780875205994
140,0.9190999925136566,21.117503190040587
150,0.92393000125885,22.867410230636597
160,0.9238199949264526,24.36869044303894
170,0.9247500002384186,26.940501260757447
180,0.9258200049400329,29.119937014579772
190,0.9286899983882904,31.517466330528258
200,0.9317299962043762,34.05309307575226
210,0.9312099993228913,37.242856884002684
220,0.9331499993801117,40.719189929962155
230,0.9335499942302704,44.00602860450745
240,0.9332599937915802,47.301799702644345
250,0.9361000001430512,51.757218384742735
260,0.9366700053215027,56.41400601863861
270,0.9376800000667572,61.74536576271057
280,0.9371800005435944,66.53335323333741
290,0.9391500055789948,72.24830946922302
300,0.9396799981594086,78.2076235294342
