Nodes,Accuracy,Time
100,0.9151500046253205,12.893017244338989
110,0.9168599963188171,13.500504636764527
120,0.9201900005340576,14.401849055290223
130,0.9234499931335449,16.19556748867035
140,0.9259999990463257,17.31765534877777
150,0.9282700002193451,18.452634859085084
160,0.92985999584198,19.640767431259157
170,0.93125,21.377408480644227
180,0.9323000013828278,23.24675064086914
190,0.9344999969005585,24.962991642951966
200,0.9344799935817718,26.245650386810304
210,0.9352200031280518,28.025151085853576
220,0.9359800040721893,30.01180682182312
230,0.9370000004768372,32.67754280567169
240,0.9391300082206726,34.70218703746796
250,0.9398299992084503,37.46843538284302
260,0.9391099870204925,40.55516877174377
270,0.940039998292923,43.846419548988344
280,0.941130006313324,46.858185338973996
290,0.9421200096607208,50.80152270793915
300,0.9420799911022186,54.44776771068573
